timestamp,lane1,lane2,lane3,lane4,total_traffic
21:44:21,8,12,8,6,34
21:44:28,7,8,4,8,27
21:44:32,7,15,3,6,31
21:44:37,6,8,6,7,27
21:44:45,5,13,9,4,31
21:44:56,5,6,4,4,19
21:45:11,5,7,2,7,21
21:45:17,10,8,2,9,29
21:45:23,8,4,4,7,23
21:45:31,6,6,3,12,27
21:45:38,10,8,2,12,32
21:45:44,6,7,1,9,23
21:45:48,6,9,5,14,34
21:45:52,4,11,11,9,35
21:45:58,9,11,4,5,29
21:46:03,7,7,3,11,28
21:46:17,9,4,13,14,40
21:46:22,6,10,6,8,30
21:46:27,12,10,2,13,37
21:46:30,4,6,7,12,29
21:46:34,7,6,10,14,37
21:46:39,4,9,7,13,33
21:46:43,9,9,11,13,42
21:46:46,8,12,7,12,39
21:46:50,7,12,7,20,46
21:46:55,8,16,12,16,52
21:47:01,8,13,13,12,46
21:47:06,10,19,10,9,48
21:47:11,9,17,9,13,48
21:47:15,15,19,9,13,56
21:47:19,15,24,11,14,64
21:47:23,6,14,9,12,41
21:47:27,7,14,6,14,41
21:47:31,10,16,10,13,49
21:47:37,7,11,9,11,38
21:47:44,9,8,6,10,33
21:47:51,6,12,9,8,35
21:47:57,4,12,11,6,33
21:48:02,4,11,8,12,35
21:48:07,6,11,9,11,37
21:48:17,9,12,11,15,47
21:48:22,5,12,5,12,34
21:48:26,4,12,6,14,36
21:48:31,7,13,5,12,37
21:48:43,7,12,2,8,29
21:48:48,4,20,6,10,40
21:48:55,3,16,5,9,33
21:49:01,6,11,9,12,38
21:49:06,5,10,7,5,27
21:49:14,4,10,6,7,27
21:49:18,4,10,4,7,25
21:49:22,4,6,2,6,18
21:49:26,8,7,3,8,26
21:49:31,3,7,3,7,20
21:49:40,5,11,4,9,29
21:49:54,5,11,7,6,29
21:50:00,6,10,9,11,36
21:50:06,8,14,3,16,41
21:50:13,9,13,3,15,40
21:50:18,6,11,3,9,29
21:50:27,11,9,6,10,36
21:50:31,7,5,4,14,30
21:50:38,5,6,7,9,27
21:50:47,4,6,9,9,28
21:50:56,3,5,4,7,19
21:51:03,5,5,3,8,21
21:51:08,3,6,6,9,24
21:51:16,7,8,2,13,30
21:51:21,7,12,2,11,32
21:51:30,5,7,5,5,22
21:51:35,4,10,4,10,28
21:51:39,6,11,3,9,29
21:51:46,6,11,3,12,32
21:51:57,5,17,2,9,33
21:52:02,4,7,4,9,24
21:52:06,4,6,2,5,17
21:52:15,7,5,3,5,20
21:52:26,5,7,7,8,27
21:52:43,6,10,3,8,27
21:52:47,9,8,3,6,26
21:52:53,7,10,3,10,30
21:52:59,5,11,3,5,24
21:53:05,5,6,5,6,22
21:53:08,6,10,5,5,26
21:53:12,7,8,4,10,29
21:53:15,7,7,3,7,24
21:53:18,5,8,5,6,24
21:53:22,7,5,5,7,24
21:53:26,7,9,3,8,27
21:53:31,8,7,6,11,32
21:53:35,7,6,6,12,31
21:53:41,6,4,2,13,25
21:53:55,11,5,3,7,26
21:54:02,5,5,4,7,21
21:54:05,5,1,4,9,19
21:54:08,5,2,4,6,17
21:54:12,5,4,4,11,24
21:54:15,5,8,5,12,30
21:54:19,3,11,6,10,30
21:54:23,9,6,7,9,31
21:54:27,6,10,8,7,31
21:54:33,8,9,6,7,30
21:54:39,12,13,5,5,35
21:54:44,11,9,4,5,29
